"Taxon","Family","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_70568",0,0,0,20,0,1,1,7
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_70719",0,0,0,16,1,1,36,39
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_76490",0,0,1,15,1,1,44,50
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_76490",0,0,1,16,1,1,40,46
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79561",0,0,0,16,1,1,20,20
"Daucus carota","Apiaceae","Enscobase","RBGK","Hungary","K_374598",0,0,0,15,1,1,19,19
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_46707",0,1,0,16,1,1,35,38
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79608",0,1,0,15,0,1,12,16
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79608",0,1,0,16,0,1,15,17
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79620",0,0,0,16,1,1,91,100
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79653",0,0,0,5,0,1,17,20
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79653",0,1,0,16,1,1,46,46
"Daucus carota","Apiaceae","Enscobase","RBGK","Germany","K_52157",0,0,0,5,0,1,13,18
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79701",0,0,0,21,0,1,63,70
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79723",0,0,0,21,0,1,27,30
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79745",0,0,0,21,0,1,35,40
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79756",0,0,0,15,1,1,10,10
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79756",0,0,0,20,0,1,9,10
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79561",0,0,0,20,0,1,9,20
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79561",0,0,0,21,0,1,17,20
"Daucus carota","Apiaceae","Enscobase","RBGK","Romania","K_51002",0,1,0,15,1,1,5,5
"Daucus carota","Apiaceae","Enscobase","RBGK","Romania","K_51002",0,1,0,16,1,1,7,7
"Daucus carota","Apiaceae","Enscobase","RBGK","Ukraine","K_314525",0,0,0,20,0,1,13,18
"Daucus carota","Apiaceae","Enscobase","RBGK","Ukraine","K_314525",0,0,0,25,0,1,17,19
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_70384",0,0,0,16,1,1,84,99
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79686",0,0,0,16,0,1,26,28
"Daucus carota","Apiaceae","Enscobase","RBGK","Switzerland","K_50795",0,0,0,5,0,1,43,93
"Daucus carota","Apiaceae","Enscobase","RBGK","Switzerland","K_50795",0,0,1,15,1,1,39,45
"Daucus carota","Apiaceae","Enscobase","RBGK","Switzerland","K_50795",0,1,0,16,1,1,13,17
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_404859",0,1,1,15,1,1,16,20
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_404859",0,1,1,20,0,1,17,20
"Daucus carota","Apiaceae","Enscobase","RBGK","Poland","K_52847",0,1,1,16,1,1,60,68
"Daucus carota","Apiaceae","Enscobase","RBGK","Portugal","K_20378",0,0,0,21,0,1,148,169
"Daucus carota","Apiaceae","Enscobase","MAICh","Greece","CHAN_0909",0,0,0,15,0,1,77,80
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79804",0,0,0,16,0,1,37,40
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_477640",0,0,0,15,1,1,24,32
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_59558",0,1,0,16,1,1,88,98
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_46707",0,0,0,16,1,1,44,50
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_70384",0,1,0,15,1,1,43,43
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_70568",0,0,0,15,1,1,9,10
"Daucus carota","Apiaceae","Enscobase","RBGK","France","K_69548",0,0,0,21,0,1,100,100
"Daucus carota","Apiaceae","Enscobase","RBGK","Ukraine","K_314525",0,0,0,15,1,1,17,18
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_79790",0,0,0,16,0,1,36,39
"Daucus carota","Apiaceae","Enscobase","RBGK","UK","K_46707",0,1,0,5,0,1,27,34
"Daucus carota","Apiaceae","Enscobase","RBGK","Ukraine","K_314525",0,0,0,15,0,1,13,18
"Daucus carota","Apiaceae","Enscobase","RBGK","France","K_56649",0,0,1,16,1,1,50,92
"Daucus carota","Apiaceae","Enscobase","RBGK","Spain","K_60512",0,0,0,21,0,1,137,148
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_39969",1,0,0,16,1,1,73,84
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","Ireland","K_163686",0,0,0,20,0,1,5,10
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","Ireland","K_163686",0,0,0,13.33333333,1,1,6,8
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_33901",1,0,0,20,0,1,15,20
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_18801",1,0,0,25,0,1,46,49
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_57820",0,0,0,16,1,1,94,98
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","Ireland","K_163686",0,0,0,10,0,1,8,9
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","Ireland","K_163686",0,0,0,15,0,1,6,10
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_18890",0,0,0,16,0,1,98,98
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_57820",0,0,0,15,1,1,17,17
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_35835",1,0,0,25,1,1,10,15
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_39969",1,0,0,15,1,1,7,8
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_18890",0,0,0,15,0,1,40,43
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_33901",1,0,0,21,0,1,189,200
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_18801",1,0,0,26,0,1,68,69
"Deschampsia cespitosa","Poaceae","Enscobase","RBGK","UK","K_35835",0,0,0,25,1,1,10,16
"Elytrigia repens","Poaceae","Enscobase","RBGK","Italy","K_35802",0,1,0,15,1,1,20,20
"Elytrigia repens","Poaceae","Enscobase","PAVIA","Italy","PAV_16PV",0,0,0,20,0,1,2,25
"Elytrigia repens","Poaceae","Enscobase","BGBM","Germany","B_DE-2024505",0,0,0,22,0,1,15,20
"Elytrigia repens","Poaceae","Enscobase","PAVIA","Italy","PAV_18PV",0,0,0,20,0,1,3,3
"Elytrigia repens","Poaceae","Enscobase","RBGK","France","K_67061",0,0,0,21,0,1,68,69
"Elytrigia repens","Poaceae","Enscobase","RBGK","Italy","K_35802",0,1,0,16,1,1,113,120
"Elytrigia repens","Poaceae","Enscobase","PAVIA","Italy","PAV_18PV",0,0,0,10,0,1,1,1
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_25351",0,0,0,21,0,1,137,140
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_25351",0,0,0,20,0,1,17,20
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_22822",0,0,0,21,0,1,130,149
"Festuca rubra","Poaceae","Enscobase","RBGK","Italy","K_6080",0,0,0,20,0,1,18,18
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_51459",0,0,0,16,1,1,19,19
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9704",0,0,0,16,0,1,97,100
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_18812",0,0,0,15,0,1,19,20
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_22822",0,0,0,20,0,1,46,50
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9704",0,0,0,13.33333333,1,1,20,20
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_30232",0,0,0,21,0,1,116,120
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9704",0,0,0,16,1,1,116,120
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_17125",0,0,0,16,0,1,99,99
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_30232",0,0,0,20,0,1,20,20
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_29979",0,0,0,21,0,1,147,150
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_39279",0,0,0,15,1,1,17,17
"Festuca rubra","Poaceae","Enscobase","RBGK","Italy","K_6080",0,0,0,21,0,1,108,119
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_51459",0,0,0,13.33333333,1,1,7,9
"Festuca rubra","Poaceae","Enscobase","RBGK","Italy","K_6219",0,0,0,20,0,1,46,48
"Festuca rubra","Poaceae","Enscobase","RBGK","Italy","K_6219",0,0,0,21,0,1,144,149
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_17125",0,0,0,15,0,1,48,50
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_35259",0,0,0,21,0,1,86,117
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_29979",0,0,0,20,0,1,50,50
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9531",0,0,0,16,1,1,117,120
"Festuca rubra","Poaceae","Enscobase","RBGK","Greece","K_35259",0,0,0,20,0,1,15,20
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9586",0,0,0,21,0,1,107,115
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_18812",0,0,0,16,0,1,66,66
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9586",0,0,0,20,0,1,15,17
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_39279",0,0,0,16,1,1,94,96
"Festuca rubra","Poaceae","Enscobase","RBGK","UK","K_9531",0,0,0,13.33333333,1,1,19,19
"Galium mollugo","Rubiaceae","Enscobase","RBGK","UK","K_409016",0,0,0,15,0,1,7,20
"Galium mollugo","Rubiaceae","Enscobase","RBGK","UK","K_409016",0,0,0,15,1,1,15,20
"Galium mollugo","Rubiaceae","Enscobase","RBGK","UK","K_409016",0,0,0,20,0,1,8,20
"Galium mollugo","Rubiaceae","Enscobase","RBGK","Norway","K_37149",0,0,0,21,0,1,195,200
"Galium mollugo","Rubiaceae","Enscobase","RBGK","Norway","K_37149",0,0,0,20,0,1,20,20
"Galium mollugo","Rubiaceae","Enscobase","RBGK","Norway","K_13105",0,0,0,20,0,1,10,10
"Galium mollugo","Rubiaceae","Enscobase","RBGK","UK","K_86398",0,0,0,16,0,1,93,98
"Galium mollugo","Rubiaceae","Enscobase","RBGK","UK","K_58399",1,0,0,15,0,1,17,20
"Galium mollugo","Rubiaceae","Enscobase","RBGK","Norway","K_13105",0,0,0,21,0,1,120,120
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_402785",0,1,1,20,0,1,6,18
"Galium verum","Rubiaceae","Enscobase","RBGK","Belgium","K_175186",0,0,0,25,0,1,35,47
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_122939",0,0,0,26,0,1,15,17
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_402785",0,1,1,15,0,1,6,20
"Galium verum","Rubiaceae","Enscobase","RBGK","Belgium","K_175186",0,0,0,20,0,1,46,48
"Galium verum","Rubiaceae","Enscobase","RBGK","Belgium","K_175186",0,0,0,15,0,1,36,48
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_402785",0,1,1,15,1,1,15,20
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_138769",0,0,0,15,0,1,17,20
"Galium verum","Rubiaceae","Enscobase","RBGK","UK","K_138769",0,0,0,25,0,1,7,20
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_018/00",0,1,1,21.66666667,1,1,430,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_006/99",0,1,1,21.66666667,1,1,0,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_007/99",0,1,1,21.66666667,1,1,0,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_017/00",0,1,1,21.66666667,1,1,435,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_005/99",0,1,1,21.66666667,1,1,0,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","PAVIA","Italy","PAV_BG195",0,0,1,20,0,1,7,20
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_016/00",0,1,1,21.66666667,1,1,295,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_011/01",0,1,1,21.66666667,1,1,415,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_039/03",0,1,1,21.66666667,1,1,0,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_004/99",0,1,1,21.66666667,1,1,400,500
"Gentiana asclepiadea","Gentianaceae","Enscobase","BG-CBDC-PAS","Poland","WARS_010/01",0,1,1,21.66666667,1,1,355,500
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,0,25,0,1,0,50
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,1,5,0,1,15,20
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,0,15,1,1,0,17
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,0,20,0,1,0,50
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,0,15,1,1,1,19
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,0,20,0,1,0,19
"Gentiana lutea","Gentianaceae","Enscobase","BGBM","Slovenia","B_SI-2063106",0,0,0,22,0,1,0,20
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,1,13.33333333,1,1,16,18
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,1,15,1,1,12,18
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,1,23.33333333,1,1,1,20
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,1,15,1,1,10,20
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,1,23.33333333,1,1,4,16
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,1,1,20,0,1,3,17
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,1,13.33333333,1,1,13,19
"Gentiana lutea","Gentianaceae","Enscobase","RBGK","Italy","K_186760",0,0,0,15,0,1,0,50
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_17239",1,0,0,16,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","Greece","K_8110",1,0,0,15,0,1,18,19
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","Belgium","K_175234",1,0,0,25,0,1,13,20
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,1,0,16,0,1,21,60
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_18535",1,0,0,20,0,1,46,50
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,1,0,16,0,0,17,60
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_58436",1,0,0,20,0,1,20,20
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,1,0,17,1,0,24,60
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,1,0,17,1,1,24,60
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","Belgium","K_175234",1,0,0,20,0,1,16,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_10643",1,0,0,20,0,1,19,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_58436",1,0,0,21,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","Belgium","K_175234",1,0,0,15,0,1,18,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_404918",1,0,0,15,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_404918",1,0,0,20,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_10643",1,0,0,21,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_17239",1,0,0,15,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","UK","K_18535",1,0,0,21,0,1,20,20
"Helianthemum nummularium","Cistaceae","Enscobase","RBGK","Greece","K_8110",1,0,0,16,0,1,134,138
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,0,0,17,1,0,21,60
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,0,0,17,1,1,27,60
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,0,0,16,0,1,30,60
"Helianthemum nummularium","Cistaceae","SylvanSeeds","Wagner, M. P., Richard F.; Knopp, Tatjana; Bullock, James M.; Heard, Matthew S. (2011). ""The germination niches of grassland species targeted for restoration: effects of seed pre-treatments."" Seed Science Research 21(02): 117-131.","UK","Calcareous grasslands, UK",0,0,0,16,0,0,24,60
"Heracleum sphondylium","Apiaceae","Enscobase","RBGK","UK","K_477651",0,0,0,15,1,1,0,17
"Heracleum sphondylium","Apiaceae","Enscobase","RBGK","UK","K_477651",0,0,0,5,0,1,20,21
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,25,0,0,47,100
"Heracleum sphondylium","Apiaceae","Enscobase","RBGK","UK","K_402844",0,1,0,15,1,1,25,36
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,10,0,0,12,100
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,10,0,1,12,100
"Heracleum sphondylium","Apiaceae","Enscobase","RBGK","UK","K_53246",0,1,0,16,1,1,80,94
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,25,0,1,47,100
"Heracleum sphondylium","Apiaceae","Enscobase","BGBM","Germany","B_DE-2031203",0,0,0,22,0,1,0,20
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,30,0,1,45,100
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,15,0,0,50,100
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,15,0,1,50,100
"Heracleum sphondylium","Apiaceae","SylvanSeeds","Jauzein, P. and A. Mansour (1992). ""Principaux facteurs de la germination de Heracleum sphondylium L : importance de l'oxygène."" Agronomie 12(1): 85-96.","France","Montigny-le-Bretonneux, France",0,1,0,30,0,0,45,100
"Heracleum sphondylium","Apiaceae","Enscobase","BGBM","Germany","B_DE-2003305",0,0,0,22,0,1,0,20
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_35204",0,0,0,20,0,1,20,20
"Holcus lanatus","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS162",0,0,0,17,1,1,76,94
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_32708",0,0,0,21,0,1,124,140
"Holcus lanatus","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS171",0,0,1,17,1,1,63,95
"Holcus lanatus","Poaceae","SylvanSeeds","Perez-Fernandez, M. A. and S. Rodriguez-Echeverria (2003). ""Effect of smoke, charred wood, and nitrogenous compounds on seed germination of ten species from woodland in central-western Spain."" J Chem Ecol 29(1): 237-251.","Spain","Quercus rotundifolia dehesa, Badajoz, Spain",0,0,0,21.5,1,1,40,40
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_35204",0,0,0,21,0,1,96,100
"Holcus lanatus","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS171",0,0,0,17,1,1,62,83
"Holcus lanatus","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS232",0,0,1,25,1,1,49,93
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,1,1,95,100
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,16,1,0,27,30
"Holcus lanatus","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS232",0,0,1,17,1,1,69,165
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. (1989). ""A Comparative Study of Germination Responses to High Irradiance Light."" Annals of Botany 63(1): 159-162.","UK","Plymouth, UK",0,0,0,15,0,1,184,200
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,18,1,0,25,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,18,1,1,28,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,17,1,0,23,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,17.5,1,0,22,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,19,1,0,23,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,19,1,1,29,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,18.5,1,0,22,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,18.6666666666667,1,1,27,30
"Holcus lanatus","Poaceae","Enscobase","BGBM","Germany","B_DE-2190398",0,0,0,22,0,1,6,20
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_32708",0,0,0,20,0,1,15,18
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,20,1,1,29,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,20.3333333333333,1,1,27,30
"Holcus lanatus","Poaceae","SylvanSeeds","Thompson, K. G., J. P. (1983). ""A Comparative Study of Germination Responses to Diurnally-Fluctuating Temperatures."" The Journal of Applied Ecology 20(1): 141-156.","UK","Sheffield, UK",0,0,0,20.5,1,0,16,30
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_36980",0,0,0,15,1,1,46,50
"Holcus lanatus","Poaceae","Enscobase","RBGK","Greece","K_36980",0,0,0,16,1,1,90,97
"Holcus lanatus","Poaceae","Enscobase","RBGK","Ireland","K_39017",0,0,0,15,1,1,20,20
"Holcus lanatus","Poaceae","Enscobase","RBGK","Ireland","K_39017",0,0,0,16,1,1,34,38
